ENTRY_AC	ENTRY_TYPE	ENTRY_NAME	GO_ID	NAME	 
IPR017246	F	Snapin	GO:0000149	SNARE binding	 
IPR015414	F	SNARE associated Golgi protein	GO:0000149	SNARE binding	 
IPR000744	F	NSF attachment protein	GO:0000149	SNARE binding	 
IPR024874	F	Transcription factor Maf	GO:0001085	RNA polymerase II transcription factor binding	 
IPR024106	F	"Pseudokinase tribbles, TRB3"	GO:0001222	transcription corepressor binding	 
IPR020282	F	Arginine vasopressin-induced protein 1	GO:0001664	G-protein coupled receptor binding	 
IPR003986	F	Neurotensin type 2 receptor	GO:0001664	G-protein coupled receptor binding	 
IPR003985	F	Neurotensin type 1 receptor	GO:0001664	G-protein coupled receptor binding	 
IPR003984	F	Neurotensin receptor	GO:0001664	G-protein coupled receptor binding	 
IPR003905	F	Growth hormone secretagogue receptor type 1	GO:0001664	G-protein coupled receptor binding	 
IPR001634	F	Adenosine receptor	GO:0001664	G-protein coupled receptor binding	 
IPR000356	F	P2U purinoceptor	GO:0001664	G-protein coupled receptor binding	 
IPR000337	F	"GPCR, family 3"	GO:0001664	G-protein coupled receptor binding	 
IPR000248	F	Angiotensin II receptor family	GO:0001664	G-protein coupled receptor binding	 
IPR000142	F	P2Y purinoceptor	GO:0001664	G-protein coupled receptor binding	 
IPR002286	F	P2 purinoceptor	GO:0001664	G-protein coupled receptor binding	 
IPR001862	F	Membrane attack complex component/perforin/complement C9	GO:0001848	complement binding	 
IPR025167	F	"Fusion glycoprotein F0, Isavirus"	GO:0001948	glycoprotein binding	 
IPR016402	F	"Envelope glycoprotein precursor, Hantavirus"	GO:0001948	glycoprotein binding	 
IPR022082	F	Neurogenesis glycoprotein	GO:0001948	glycoprotein binding	 
IPR016354	F	Tissue factor/coagulation factor III	GO:0001948	glycoprotein binding	 
IPR016332	F	Alpha-1B-glycoprotein/leukocyte immunoglobulin-like receptor	GO:0001948	glycoprotein binding	 
IPR016663	F	Myelin-oligodendrocyte glycoprotein	GO:0001948	glycoprotein binding	 
IPR020403	F	Equine arteritis virus envelope glycoprotein 5	GO:0001948	glycoprotein binding	 
IPR021663	F	T-cell surface glycoprotein CD3 zeta/eta subunit/High affinity IgE receptor gamma subunit	GO:0001948	glycoprotein binding	 
IPR018582	F	"Envelope glycoprotein, lentivirus"	GO:0001948	glycoprotein binding	 
IPR021057	F	Trypanosome invariant surface glycoprotein	GO:0001948	glycoprotein binding	 
IPR008645	F	"Roseolovirus U47, glycoprotein"	GO:0001948	glycoprotein binding	 
IPR008820	F	Rubella membrane glycoprotein E1	GO:0001948	glycoprotein binding	 
IPR020177	F	Herpesvirus glycoprotein U21	GO:0001948	glycoprotein binding	 
IPR020175	F	"Herpesvirus glycoprotein L, rhadinovirus-type"	GO:0001948	glycoprotein binding	 
IPR024179	F	"S-locus glycoprotein, mannose-binding-type"	GO:0001948	glycoprotein binding	 
IPR008673	F	Microfibril-associated glycoprotein	GO:0001948	glycoprotein binding	 
IPR008652	F	"Adenovirus type 2, E3A glycoprotein"	GO:0001948	glycoprotein binding	 
IPR012536	F	"Herpesvirus US7/8/9/11, glycoprotein"	GO:0001948	glycoprotein binding	 
IPR008781	F	Pneumovirinae attachment membrane glycoprotein G	GO:0001948	glycoprotein binding	 
IPR010851	F	S locus-related glycoprotein 1 binding pollen coat	GO:0001948	glycoprotein binding	 
IPR014625	F	Filoviruses glycoprotein	GO:0001948	glycoprotein binding	 
IPR012564	F	"Herpesvirus UL74, glycoprotein"	GO:0001948	glycoprotein binding	 
IPR010408	F	"Haemagglutinin-esterase glycoprotein, infectious salmon anaemia virus-type"	GO:0001948	glycoprotein binding	 
IPR024128	F	T-cell surface glycoprotein CD3 zeta/eta subunit	GO:0001948	glycoprotein binding	 
